dataset,model,pre_trained,transfer_learning,optimizer,image_distortions,batch_size,epochs,learning_rate,momentum,accuracy,acc_per_class
SOYBEAN1,resnet18,True,False,Adam,True,64,5,0.01,0.9,22.033898305084747,"{'3bI': 0, '4hE': 0, '2bE': 0, '4bI': 0, 'pI': 14, '3bE': 0, '3hI': 0, '2hI': 5, '2hE': 7, '3hE': 0, '3mI': 0, 'pE': 0}"
SOYBEAN1,resnet18,True,False,Adam,True,64,6,0.01,0.9,20.338983050847457,"{'3bI': 11, '4hE': 0, '2bE': 0, '4bI': 0, 'pI': 2, '3bE': 0, '3hI': 0, '2hI': 1, '2hE': 0, '3hE': 0, '3mI': 0, 'pE': 10}"
SOYBEAN1,resnet18,True,False,Adam,True,64,7,0.01,0.9,12.711864406779661,"{'3bI': 1, '4hE': 0, '2bE': 0, '4bI': 0, 'pI': 14, '3bE': 0, '3hI': 0, '2hI': 0, '2hE': 0, '3hE': 0, '3mI': 0, 'pE': 0}"
SOYBEAN1,resnet18,True,False,Adam,True,64,8,0.01,0.9,26.271186440677965,"{'3bI': 0, '4hE': 0, '2bE': 0, '4bI': 2, 'pI': 14, '3bE': 0, '3hI': 0, '2hI': 0, '2hE': 3, '3hE': 0, '3mI': 0, 'pE': 12}"
SOYBEAN1,resnet18,True,False,Adam,True,64,9,0.01,0.9,30.508474576271187,"{'3bI': 0, '4hE': 0, '2bE': 0, '4bI': 5, 'pI': 14, '3bE': 0, '3hI': 0, '2hI': 2, '2hE': 0, '3hE': 8, '3mI': 0, 'pE': 7}"
SOYBEAN1,resnet18,True,False,Adam,True,64,10,0.01,0.9,23.728813559322035,"{'3bI': 0, '4hE': 0, '2bE': 0, '4bI': 14, 'pI': 0, '3bE': 5, '3hI': 0, '2hI': 0, '2hE': 9, '3hE': 0, '3mI': 0, 'pE': 0}"
SOYBEAN1,resnet18,True,False,Adam,True,64,11,0.01,0.9,31.35593220338983,"{'3bI': 8, '4hE': 0, '2bE': 0, '4bI': 5, 'pI': 0, '3bE': 0, '3hI': 1, '2hI': 5, '2hE': 9, '3hE': 0, '3mI': 0, 'pE': 9}"
SOYBEAN1,resnet18,True,False,Adam,True,64,12,0.01,0.9,19.491525423728813,"{'3bI': 3, '4hE': 0, '2bE': 0, '4bI': 1, 'pI': 1, '3bE': 2, '3hI': 0, '2hI': 2, '2hE': 0, '3hE': 0, '3mI': 0, 'pE': 14}"
SOYBEAN1,resnet18,True,False,Adam,True,64,13,0.01,0.9,34.74576271186441,"{'3bI': 9, '4hE': 0, '2bE': 0, '4bI': 4, 'pI': 14, '3bE': 0, '3hI': 0, '2hI': 1, '2hE': 2, '3hE': 3, '3mI': 1, 'pE': 7}"
SOYBEAN1,resnet18,True,False,Adam,True,64,14,0.01,0.9,12.711864406779661,"{'3bI': 1, '4hE': 0, '2bE': 0, '4bI': 0, 'pI': 14, '3bE': 0, '3hI': 0, '2hI': 0, '2hE': 0, '3hE': 0, '3mI': 0, 'pE': 0}"
SOYBEAN1,resnet18,True,False,Adam,True,64,15,0.01,0.9,33.898305084745765,"{'3bI': 11, '4hE': 0, '2bE': 0, '4bI': 11, 'pI': 2, '3bE': 0, '3hI': 0, '2hI': 0, '2hE': 1, '3hE': 3, '3mI': 0, 'pE': 12}"
SOYBEAN1,resnet18,True,False,Adam,True,64,16,0.01,0.9,47.45762711864407,"{'3bI': 10, '4hE': 0, '2bE': 0, '4bI': 6, 'pI': 13, '3bE': 0, '3hI': 0, '2hI': 8, '2hE': 0, '3hE': 6, '3mI': 0, 'pE': 13}"
SOYBEAN1,resnet18,True,False,Adam,True,64,17,0.01,0.9,44.91525423728814,"{'3bI': 7, '4hE': 0, '2bE': 0, '4bI': 10, 'pI': 14, '3bE': 6, '3hI': 1, '2hI': 4, '2hE': 0, '3hE': 6, '3mI': 1, 'pE': 4}"
SOYBEAN1,resnet18,True,False,Adam,True,64,18,0.01,0.9,44.067796610169495,"{'3bI': 8, '4hE': 0, '2bE': 0, '4bI': 13, 'pI': 5, '3bE': 0, '3hI': 0, '2hI': 13, '2hE': 0, '3hE': 4, '3mI': 1, 'pE': 8}"
SOYBEAN1,resnet18,True,False,Adam,True,64,19,0.01,0.9,32.20338983050848,"{'3bI': 7, '4hE': 0, '2bE': 0, '4bI': 0, 'pI': 14, '3bE': 0, '3hI': 0, '2hI': 1, '2hE': 0, '3hE': 7, '3mI': 0, 'pE': 9}"
SOYBEAN1,resnet18,True,False,Adam,True,64,20,0.01,0.9,24.576271186440678,"{'3bI': 5, '4hE': 0, '2bE': 0, '4bI': 0, 'pI': 14, '3bE': 0, '3hI': 0, '2hI': 0, '2hE': 3, '3hE': 6, '3mI': 0, 'pE': 1}"
SOYBEAN1,resnet18,True,False,Adam,True,64,21,0.01,0.9,51.69491525423729,"{'3bI': 9, '4hE': 0, '2bE': 0, '4bI': 1, 'pI': 14, '3bE': 0, '3hI': 7, '2hI': 11, '2hE': 3, '3hE': 7, '3mI': 0, 'pE': 9}"
SOYBEAN1,resnet18,True,False,Adam,True,64,22,0.01,0.9,52.54237288135593,"{'3bI': 2, '4hE': 0, '2bE': 0, '4bI': 14, 'pI': 14, '3bE': 0, '3hI': 0, '2hI': 8, '2hE': 2, '3hE': 7, '3mI': 1, 'pE': 14}"
SOYBEAN1,resnet18,True,False,Adam,True,64,23,0.01,0.9,40.67796610169491,"{'3bI': 2, '4hE': 0, '2bE': 0, '4bI': 12, 'pI': 0, '3bE': 0, '3hI': 0, '2hI': 10, '2hE': 0, '3hE': 7, '3mI': 3, 'pE': 14}"
SOYBEAN1,resnet18,True,False,Adam,True,64,24,0.01,0.9,55.932203389830505,"{'3bI': 9, '4hE': 0, '2bE': 0, '4bI': 14, 'pI': 6, '3bE': 1, '3hI': 1, '2hI': 12, '2hE': 1, '3hE': 7, '3mI': 1, 'pE': 14}"
SOYBEAN1,resnet18,True,False,Adam,True,64,25,0.01,0.9,47.45762711864407,"{'3bI': 5, '4hE': 0, '2bE': 0, '4bI': 14, 'pI': 14, '3bE': 5, '3hI': 3, '2hI': 0, '2hE': 0, '3hE': 7, '3mI': 1, 'pE': 7}"
SOYBEAN1,resnet18,True,False,Adam,True,64,26,0.01,0.9,45.76271186440678,"{'3bI': 10, '4hE': 0, '2bE': 0, '4bI': 6, 'pI': 14, '3bE': 0, '3hI': 0, '2hI': 2, '2hE': 2, '3hE': 6, '3mI': 1, 'pE': 13}"
SOYBEAN1,resnet18,True,False,Adam,True,64,27,0.01,0.9,55.08474576271186,"{'3bI': 11, '4hE': 0, '2bE': 0, '4bI': 13, 'pI': 8, '3bE': 0, '3hI': 1, '2hI': 10, '2hE': 0, '3hE': 7, '3mI': 1, 'pE': 14}"
SOYBEAN1,resnet18,True,False,Adam,True,64,28,0.01,0.9,53.389830508474574,"{'3bI': 5, '4hE': 0, '2bE': 0, '4bI': 9, 'pI': 14, '3bE': 4, '3hI': 1, '2hI': 12, '2hE': 0, '3hE': 8, '3mI': 0, 'pE': 10}"
SOYBEAN1,resnet18,True,False,Adam,True,64,29,0.01,0.9,36.440677966101696,"{'3bI': 8, '4hE': 0, '2bE': 0, '4bI': 5, 'pI': 3, '3bE': 0, '3hI': 1, '2hI': 11, '2hE': 0, '3hE': 9, '3mI': 3, 'pE': 3}"
SOYBEAN1,resnet18,False,False,Adam,True,64,0,0.01,0.9,6.779661016949152,"{'3bI': 0, '4hE': 0, '2bE': 0, '4bI': 0, 'pI': 0, '3bE': 0, '3hI': 8, '2hI': 0, '2hE': 0, '3hE': 0, '3mI': 0, 'pE': 0}"
SOYBEAN1,resnet18,False,False,Adam,True,64,1,0.01,0.9,9.322033898305085,"{'3bI': 11, '4hE': 0, '2bE': 0, '4bI': 0, 'pI': 0, '3bE': 0, '3hI': 0, '2hI': 0, '2hE': 0, '3hE': 0, '3mI': 0, 'pE': 0}"
SOYBEAN1,resnet18,False,False,Adam,True,64,2,0.01,0.9,9.322033898305085,"{'3bI': 11, '4hE': 0, '2bE': 0, '4bI': 0, 'pI': 0, '3bE': 0, '3hI': 0, '2hI': 0, '2hE': 0, '3hE': 0, '3mI': 0, 'pE': 0}"
SOYBEAN1,resnet18,False,False,Adam,True,64,3,0.01,0.9,9.322033898305085,"{'3bI': 11, '4hE': 0, '2bE': 0, '4bI': 0, 'pI': 0, '3bE': 0, '3hI': 0, '2hI': 0, '2hE': 0, '3hE': 0, '3mI': 0, 'pE': 0}"
SOYBEAN1,resnet18,False,False,Adam,True,64,4,0.01,0.9,9.322033898305085,"{'3bI': 11, '4hE': 0, '2bE': 0, '4bI': 0, 'pI': 0, '3bE': 0, '3hI': 0, '2hI': 0, '2hE': 0, '3hE': 0, '3mI': 0, 'pE': 0}"
SOYBEAN1,resnet18,False,False,Adam,True,64,5,0.01,0.9,21.1864406779661,"{'3bI': 11, '4hE': 0, '2bE': 0, '4bI': 0, 'pI': 1, '3bE': 0, '3hI': 0, '2hI': 11, '2hE': 0, '3hE': 1, '3mI': 0, 'pE': 1}"
SOYBEAN1,resnet18,False,False,Adam,True,64,6,0.01,0.9,17.796610169491526,"{'3bI': 10, '4hE': 0, '2bE': 0, '4bI': 0, 'pI': 9, '3bE': 1, '3hI': 0, '2hI': 1, '2hE': 0, '3hE': 0, '3mI': 0, 'pE': 0}"
SOYBEAN1,resnet18,False,False,Adam,True,64,7,0.01,0.9,10.169491525423728,"{'3bI': 11, '4hE': 0, '2bE': 0, '4bI': 0, 'pI': 0, '3bE': 0, '3hI': 0, '2hI': 1, '2hE': 0, '3hE': 0, '3mI': 0, 'pE': 0}"
SOYBEAN1,resnet18,False,False,Adam,True,64,8,0.01,0.9,56.779661016949156,"{'3bI': 6, '4hE': 0, '2bE': 0, '4bI': 10, 'pI': 14, '3bE': 0, '3hI': 4, '2hI': 10, '2hE': 4, '3hE': 5, '3mI': 0, 'pE': 14}"
SOYBEAN1,resnet18,False,False,Adam,True,64,9,0.01,0.9,57.6271186440678,"{'3bI': 10, '4hE': 0, '2bE': 0, '4bI': 11, 'pI': 11, '3bE': 0, '3hI': 2, '2hI': 12, '2hE': 0, '3hE': 8, '3mI': 0, 'pE': 14}"
SOYBEAN1,resnet18,False,False,Adam,True,64,10,0.01,0.9,52.54237288135593,"{'3bI': 1, '4hE': 0, '2bE': 0, '4bI': 15, 'pI': 9, '3bE': 5, '3hI': 3, '2hI': 12, '2hE': 6, '3hE': 3, '3mI': 1, 'pE': 7}"
SOYBEAN1,resnet18,False,False,Adam,True,64,11,0.01,0.9,41.52542372881356,"{'3bI': 3, '4hE': 0, '2bE': 0, '4bI': 9, 'pI': 12, '3bE': 0, '3hI': 0, '2hI': 14, '2hE': 0, '3hE': 10, '3mI': 0, 'pE': 1}"
SOYBEAN1,resnet18,False,False,Adam,True,64,12,0.01,0.9,59.32203389830509,"{'3bI': 7, '4hE': 0, '2bE': 0, '4bI': 12, 'pI': 14, '3bE': 7, '3hI': 1, '2hI': 14, '2hE': 0, '3hE': 7, '3mI': 0, 'pE': 8}"
SOYBEAN1,resnet18,False,False,Adam,True,64,13,0.01,0.9,33.898305084745765,"{'3bI': 11, '4hE': 0, '2bE': 0, '4bI': 6, 'pI': 0, '3bE': 1, '3hI': 4, '2hI': 0, '2hE': 8, '3hE': 7, '3mI': 1, 'pE': 2}"
SOYBEAN1,resnet18,False,False,Adam,True,64,14,0.01,0.9,38.983050847457626,"{'3bI': 10, '4hE': 0, '2bE': 0, '4bI': 14, 'pI': 0, '3bE': 5, '3hI': 0, '2hI': 0, '2hE': 4, '3hE': 7, '3mI': 0, 'pE': 6}"
SOYBEAN1,resnet18,False,False,Adam,True,64,15,0.01,0.9,39.83050847457627,"{'3bI': 7, '4hE': 0, '2bE': 0, '4bI': 3, 'pI': 0, '3bE': 0, '3hI': 1, '2hI': 13, '2hE': 3, '3hE': 8, '3mI': 1, 'pE': 11}"
SOYBEAN1,resnet18,False,False,Adam,True,64,16,0.01,0.9,49.152542372881356,"{'3bI': 5, '4hE': 0, '2bE': 0, '4bI': 10, 'pI': 7, '3bE': 1, '3hI': 0, '2hI': 14, '2hE': 6, '3hE': 3, '3mI': 0, 'pE': 12}"
SOYBEAN1,resnet18,False,False,Adam,True,64,17,0.01,0.9,60.16949152542373,"{'3bI': 8, '4hE': 0, '2bE': 0, '4bI': 15, 'pI': 12, '3bE': 0, '3hI': 3, '2hI': 13, '2hE': 0, '3hE': 9, '3mI': 0, 'pE': 11}"
SOYBEAN1,resnet18,False,False,Adam,True,64,18,0.01,0.9,60.16949152542373,"{'3bI': 6, '4hE': 0, '2bE': 0, '4bI': 15, 'pI': 14, '3bE': 5, '3hI': 3, '2hI': 13, '2hE': 0, '3hE': 5, '3mI': 0, 'pE': 10}"
SOYBEAN1,resnet18,False,False,Adam,True,64,19,0.01,0.9,52.54237288135593,"{'3bI': 6, '4hE': 0, '2bE': 0, '4bI': 5, 'pI': 14, '3bE': 0, '3hI': 1, '2hI': 11, '2hE': 5, '3hE': 9, '3mI': 0, 'pE': 11}"
SOYBEAN1,resnet18,False,False,Adam,True,64,20,0.01,0.9,38.13559322033898,"{'3bI': 11, '4hE': 0, '2bE': 0, '4bI': 15, 'pI': 5, '3bE': 1, '3hI': 1, '2hI': 2, '2hE': 0, '3hE': 10, '3mI': 0, 'pE': 0}"
SOYBEAN1,resnet18,False,False,Adam,True,64,21,0.01,0.9,58.47457627118644,"{'3bI': 11, '4hE': 0, '2bE': 0, '4bI': 15, 'pI': 3, '3bE': 0, '3hI': 3, '2hI': 11, '2hE': 5, '3hE': 7, '3mI': 0, 'pE': 14}"
SOYBEAN1,resnet18,False,False,Adam,True,64,22,0.01,0.9,63.559322033898304,"{'3bI': 5, '4hE': 2, '2bE': 0, '4bI': 12, 'pI': 14, '3bE': 1, '3hI': 3, '2hI': 14, '2hE': 9, '3hE': 5, '3mI': 1, 'pE': 9}"
SOYBEAN1,resnet18,False,False,Adam,True,64,23,0.01,0.9,41.52542372881356,"{'3bI': 5, '4hE': 0, '2bE': 0, '4bI': 11, 'pI': 9, '3bE': 3, '3hI': 0, '2hI': 0, '2hE': 3, '3hE': 9, '3mI': 0, 'pE': 9}"
SOYBEAN1,resnet18,False,False,Adam,True,64,24,0.01,0.9,46.610169491525426,"{'3bI': 10, '4hE': 0, '2bE': 0, '4bI': 10, 'pI': 10, '3bE': 1, '3hI': 0, '2hI': 1, '2hE': 9, '3hE': 8, '3mI': 1, 'pE': 5}"
SOYBEAN1,resnet18,False,False,Adam,True,64,25,0.01,0.9,56.779661016949156,"{'3bI': 7, '4hE': 0, '2bE': 0, '4bI': 11, 'pI': 13, '3bE': 0, '3hI': 1, '2hI': 14, '2hE': 0, '3hE': 7, '3mI': 0, 'pE': 14}"
SOYBEAN1,resnet18,False,False,Adam,True,64,26,0.01,0.9,55.08474576271186,"{'3bI': 10, '4hE': 0, '2bE': 0, '4bI': 11, 'pI': 13, '3bE': 0, '3hI': 3, '2hI': 14, '2hE': 4, '3hE': 9, '3mI': 1, 'pE': 0}"
SOYBEAN1,resnet18,False,False,Adam,True,64,27,0.01,0.9,27.11864406779661,"{'3bI': 11, '4hE': 0, '2bE': 0, '4bI': 0, 'pI': 0, '3bE': 0, '3hI': 0, '2hI': 0, '2hE': 6, '3hE': 8, '3mI': 0, 'pE': 7}"
SOYBEAN1,resnet18,False,False,Adam,True,64,28,0.01,0.9,61.86440677966102,"{'3bI': 7, '4hE': 0, '2bE': 0, '4bI': 14, 'pI': 14, '3bE': 2, '3hI': 4, '2hI': 13, '2hE': 6, '3hE': 8, '3mI': 1, 'pE': 4}"
SOYBEAN1,resnet18,False,False,Adam,True,64,29,0.01,0.9,60.16949152542373,"{'3bI': 8, '4hE': 0, '2bE': 0, '4bI': 15, 'pI': 9, '3bE': 5, '3hI': 0, '2hI': 13, '2hE': 1, '3hE': 6, '3mI': 1, 'pE': 13}"
SOYBEAN1,resnet18,True,True,Adam,True,64,0,0.001,0.9,32.20338983050848,"{'3bI': 6, '4hE': 0, '2bE': 0, '4bI': 7, 'pI': 9, '3bE': 1, '3hI': 0, '2hI': 4, '2hE': 11, '3hE': 0, '3mI': 0, 'pE': 0}"
SOYBEAN1,resnet18,True,True,Adam,True,64,1,0.001,0.9,48.30508474576271,"{'3bI': 6, '4hE': 0, '2bE': 0, '4bI': 11, 'pI': 12, '3bE': 3, '3hI': 0, '2hI': 13, '2hE': 8, '3hE': 2, '3mI': 0, 'pE': 2}"
SOYBEAN1,resnet18,True,True,Adam,True,64,2,0.001,0.9,61.016949152542374,"{'3bI': 7, '4hE': 0, '2bE': 0, '4bI': 12, 'pI': 13, '3bE': 6, '3hI': 0, '2hI': 12, '2hE': 1, '3hE': 7, '3mI': 0, 'pE': 14}"
SOYBEAN1,resnet18,True,True,Adam,True,64,3,0.001,0.9,64.40677966101696,"{'3bI': 6, '4hE': 0, '2bE': 0, '4bI': 13, 'pI': 13, '3bE': 6, '3hI': 1, '2hI': 12, '2hE': 1, '3hE': 10, '3mI': 0, 'pE': 14}"
SOYBEAN1,resnet18,True,True,Adam,True,64,4,0.001,0.9,65.2542372881356,"{'3bI': 3, '4hE': 0, '2bE': 0, '4bI': 15, 'pI': 13, '3bE': 8, '3hI': 1, '2hI': 13, '2hE': 4, '3hE': 10, '3mI': 0, 'pE': 10}"
SOYBEAN1,resnet18,True,True,Adam,True,64,5,0.001,0.9,66.94915254237289,"{'3bI': 4, '4hE': 0, '2bE': 0, '4bI': 13, 'pI': 14, '3bE': 8, '3hI': 3, '2hI': 13, '2hE': 2, '3hE': 8, '3mI': 0, 'pE': 14}"
SOYBEAN1,resnet18,True,True,Adam,True,64,6,0.001,0.9,66.10169491525424,"{'3bI': 5, '4hE': 0, '2bE': 0, '4bI': 15, 'pI': 14, '3bE': 6, '3hI': 2, '2hI': 12, '2hE': 7, '3hE': 9, '3mI': 0, 'pE': 8}"
SOYBEAN1,resnet18,True,True,Adam,True,64,7,0.001,0.9,65.2542372881356,"{'3bI': 4, '4hE': 0, '2bE': 0, '4bI': 11, 'pI': 14, '3bE': 8, '3hI': 2, '2hI': 13, '2hE': 1, '3hE': 10, '3mI': 0, 'pE': 14}"
SOYBEAN1,resnet18,True,True,Adam,True,64,8,0.001,0.9,70.33898305084746,"{'3bI': 5, '4hE': 0, '2bE': 0, '4bI': 15, 'pI': 14, '3bE': 9, '3hI': 2, '2hI': 13, '2hE': 4, '3hE': 10, '3mI': 0, 'pE': 11}"
SOYBEAN1,resnet18,True,True,Adam,True,64,9,0.001,0.9,68.64406779661017,"{'3bI': 6, '4hE': 0, '2bE': 1, '4bI': 12, 'pI': 14, '3bE': 5, '3hI': 3, '2hI': 12, '2hE': 4, '3hE': 10, '3mI': 0, 'pE': 14}"
SOYBEAN1,resnet18,True,True,Adam,True,64,10,0.001,0.9,66.94915254237289,"{'3bI': 5, '4hE': 0, '2bE': 1, '4bI': 11, 'pI': 14, '3bE': 8, '3hI': 3, '2hI': 13, '2hE': 4, '3hE': 10, '3mI': 0, 'pE': 10}"
SOYBEAN1,resnet18,True,True,Adam,True,64,11,0.001,0.9,66.94915254237289,"{'3bI': 5, '4hE': 0, '2bE': 0, '4bI': 14, 'pI': 14, '3bE': 9, '3hI': 2, '2hI': 12, '2hE': 4, '3hE': 9, '3mI': 1, 'pE': 9}"
SOYBEAN1,resnet18,True,True,Adam,True,64,12,0.001,0.9,72.88135593220339,"{'3bI': 6, '4hE': 0, '2bE': 1, '4bI': 15, 'pI': 14, '3bE': 8, '3hI': 3, '2hI': 13, '2hE': 2, '3hE': 10, '3mI': 0, 'pE': 14}"
SOYBEAN1,resnet18,True,True,Adam,True,64,13,0.001,0.9,71.1864406779661,"{'3bI': 6, '4hE': 0, '2bE': 1, '4bI': 15, 'pI': 14, '3bE': 9, '3hI': 2, '2hI': 13, '2hE': 6, '3hE': 10, '3mI': 1, 'pE': 7}"
SOYBEAN1,resnet18,True,True,Adam,True,64,14,0.001,0.9,70.33898305084746,"{'3bI': 6, '4hE': 1, '2bE': 1, '4bI': 12, 'pI': 14, '3bE': 8, '3hI': 4, '2hI': 13, '2hE': 4, '3hE': 10, '3mI': 0, 'pE': 10}"
SOYBEAN1,resnet18,True,True,Adam,True,64,15,0.001,0.9,68.64406779661017,"{'3bI': 5, '4hE': 0, '2bE': 1, '4bI': 15, 'pI': 14, '3bE': 7, '3hI': 3, '2hI': 13, '2hE': 5, '3hE': 9, '3mI': 0, 'pE': 9}"
SOYBEAN1,resnet18,True,True,Adam,True,64,16,0.001,0.9,68.64406779661017,"{'3bI': 6, '4hE': 0, '2bE': 2, '4bI': 14, 'pI': 14, '3bE': 7, '3hI': 2, '2hI': 13, '2hE': 3, '3hE': 10, '3mI': 0, 'pE': 10}"
SOYBEAN1,resnet18,True,True,Adam,True,64,17,0.001,0.9,72.03389830508475,"{'3bI': 6, '4hE': 2, '2bE': 1, '4bI': 13, 'pI': 14, '3bE': 7, '3hI': 5, '2hI': 13, '2hE': 4, '3hE': 10, '3mI': 0, 'pE': 10}"
SOYBEAN1,resnet18,True,True,Adam,True,64,18,0.001,0.9,69.49152542372882,"{'3bI': 6, '4hE': 0, '2bE': 1, '4bI': 14, 'pI': 14, '3bE': 7, '3hI': 3, '2hI': 13, '2hE': 5, '3hE': 10, '3mI': 0, 'pE': 9}"
SOYBEAN1,resnet18,True,True,Adam,True,64,19,0.001,0.9,73.72881355932203,"{'3bI': 6, '4hE': 0, '2bE': 2, '4bI': 14, 'pI': 14, '3bE': 8, '3hI': 4, '2hI': 13, '2hE': 3, '3hE': 10, '3mI': 0, 'pE': 13}"
SOYBEAN1,resnet18,True,True,Adam,True,64,20,0.001,0.9,72.03389830508475,"{'3bI': 7, '4hE': 0, '2bE': 1, '4bI': 14, 'pI': 14, '3bE': 7, '3hI': 3, '2hI': 12, '2hE': 3, '3hE': 10, '3mI': 1, 'pE': 13}"
SOYBEAN1,resnet18,True,True,Adam,True,64,21,0.001,0.9,71.1864406779661,"{'3bI': 6, '4hE': 1, '2bE': 1, '4bI': 12, 'pI': 14, '3bE': 7, '3hI': 5, '2hI': 13, '2hE': 5, '3hE': 10, '3mI': 0, 'pE': 10}"
SOYBEAN1,resnet18,True,True,Adam,True,64,22,0.001,0.9,69.49152542372882,"{'3bI': 6, '4hE': 0, '2bE': 2, '4bI': 14, 'pI': 14, '3bE': 7, '3hI': 2, '2hI': 13, '2hE': 6, '3hE': 10, '3mI': 0, 'pE': 8}"
SOYBEAN1,resnet18,True,True,Adam,True,64,23,0.001,0.9,72.03389830508475,"{'3bI': 6, '4hE': 2, '2bE': 1, '4bI': 14, 'pI': 14, '3bE': 7, '3hI': 4, '2hI': 13, '2hE': 6, '3hE': 10, '3mI': 0, 'pE': 8}"
SOYBEAN1,resnet18,True,True,Adam,True,64,24,0.001,0.9,70.33898305084746,"{'3bI': 6, '4hE': 1, '2bE': 1, '4bI': 14, 'pI': 14, '3bE': 7, '3hI': 4, '2hI': 13, '2hE': 3, '3hE': 10, '3mI': 0, 'pE': 10}"
SOYBEAN1,resnet18,True,True,Adam,True,64,25,0.001,0.9,69.49152542372882,"{'3bI': 6, '4hE': 0, '2bE': 2, '4bI': 13, 'pI': 14, '3bE': 7, '3hI': 3, '2hI': 13, '2hE': 6, '3hE': 10, '3mI': 1, 'pE': 7}"
SOYBEAN1,resnet18,True,True,Adam,True,64,26,0.001,0.9,72.88135593220339,"{'3bI': 7, '4hE': 1, '2bE': 2, '4bI': 14, 'pI': 14, '3bE': 7, '3hI': 4, '2hI': 12, '2hE': 5, '3hE': 10, '3mI': 0, 'pE': 10}"
SOYBEAN1,resnet18,True,True,Adam,True,64,27,0.001,0.9,72.03389830508475,"{'3bI': 6, '4hE': 0, '2bE': 2, '4bI': 14, 'pI': 14, '3bE': 8, '3hI': 4, '2hI': 13, '2hE': 3, '3hE': 10, '3mI': 1, 'pE': 10}"
SOYBEAN1,resnet18,True,True,Adam,True,64,28,0.001,0.9,72.88135593220339,"{'3bI': 7, '4hE': 2, '2bE': 1, '4bI': 14, 'pI': 14, '3bE': 7, '3hI': 5, '2hI': 13, '2hE': 3, '3hE': 10, '3mI': 0, 'pE': 10}"
SOYBEAN1,resnet18,True,True,Adam,True,64,29,0.001,0.9,72.88135593220339,"{'3bI': 8, '4hE': 1, '2bE': 2, '4bI': 14, 'pI': 14, '3bE': 7, '3hI': 4, '2hI': 13, '2hE': 6, '3hE': 10, '3mI': 0, 'pE': 7}"
SOYBEAN1,resnet18,True,False,Adam,True,64,0,0.001,0.9,25.423728813559322,"{'3bI': 7, '4hE': 0, '2bE': 0, '4bI': 0, 'pI': 14, '3bE': 9, '3hI': 0, '2hI': 0, '2hE': 0, '3hE': 0, '3mI': 0, 'pE': 0}"
SOYBEAN1,resnet18,True,False,Adam,True,64,1,0.001,0.9,17.796610169491526,"{'3bI': 11, '4hE': 0, '2bE': 0, '4bI': 6, 'pI': 0, '3bE': 1, '3hI': 0, '2hI': 0, '2hE': 0, '3hE': 3, '3mI': 0, 'pE': 0}"
SOYBEAN1,resnet18,True,False,Adam,True,64,2,0.001,0.9,22.033898305084747,"{'3bI': 11, '4hE': 0, '2bE': 0, '4bI': 10, 'pI': 0, '3bE': 3, '3hI': 1, '2hI': 0, '2hE': 1, '3hE': 0, '3mI': 0, 'pE': 0}"
SOYBEAN1,resnet18,True,False,Adam,True,64,3,0.001,0.9,44.067796610169495,"{'3bI': 11, '4hE': 0, '2bE': 0, '4bI': 15, 'pI': 2, '3bE': 10, '3hI': 2, '2hI': 0, '2hE': 5, '3hE': 4, '3mI': 2, 'pE': 1}"
SOYBEAN1,resnet18,True,False,Adam,True,64,4,0.001,0.9,70.33898305084746,"{'3bI': 11, '4hE': 1, '2bE': 0, '4bI': 10, 'pI': 14, '3bE': 8, '3hI': 8, '2hI': 13, '2hE': 4, '3hE': 0, '3mI': 0, 'pE': 14}"
SOYBEAN1,resnet18,True,False,Adam,True,64,5,0.001,0.9,71.1864406779661,"{'3bI': 11, '4hE': 2, '2bE': 0, '4bI': 7, 'pI': 14, '3bE': 6, '3hI': 3, '2hI': 14, '2hE': 9, '3hE': 4, '3mI': 0, 'pE': 14}"
SOYBEAN1,resnet18,True,False,Adam,True,64,6,0.001,0.9,66.94915254237289,"{'3bI': 11, '4hE': 0, '2bE': 1, '4bI': 7, 'pI': 13, '3bE': 9, '3hI': 4, '2hI': 4, '2hE': 10, '3hE': 8, '3mI': 0, 'pE': 12}"
SOYBEAN1,resnet18,True,False,Adam,True,64,7,0.001,0.9,83.05084745762711,"{'3bI': 11, '4hE': 1, '2bE': 0, '4bI': 15, 'pI': 14, '3bE': 8, '3hI': 2, '2hI': 14, '2hE': 5, '3hE': 10, '3mI': 4, 'pE': 14}"
SOYBEAN1,resnet18,True,False,Adam,True,64,8,0.001,0.9,61.86440677966102,"{'3bI': 5, '4hE': 0, '2bE': 0, '4bI': 15, 'pI': 13, '3bE': 8, '3hI': 1, '2hI': 14, '2hE': 5, '3hE': 10, '3mI': 0, 'pE': 2}"
SOYBEAN1,resnet18,True,False,Adam,True,64,9,0.001,0.9,71.1864406779661,"{'3bI': 6, '4hE': 1, '2bE': 0, '4bI': 15, 'pI': 14, '3bE': 10, '3hI': 7, '2hI': 14, '2hE': 5, '3hE': 10, '3mI': 0, 'pE': 2}"
SOYBEAN1,resnet18,True,False,Adam,True,64,10,0.001,0.9,78.8135593220339,"{'3bI': 9, '4hE': 2, '2bE': 0, '4bI': 12, 'pI': 14, '3bE': 8, '3hI': 4, '2hI': 14, '2hE': 7, '3hE': 10, '3mI': 0, 'pE': 13}"
